City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,atyrau,47.1167,51.8833,-3.99,93,100,6.0,KZ,1676779012
295,chimbote,-9.0853,-78.5783,24.05,77,100,2.49,PE,1676779012
296,sur,22.5667,59.5289,23.96,67,43,3.57,OM,1676778851
297,banda aceh,5.5577,95.3222,28.94,68,59,5.54,ID,1676779013
298,sidney,-33.8679,151.2073,29.19,71,94,1.79,AU,1676778731
299,henties bay,-22.116,14.2845,18.12,78,93,0.64,NA,1676779014
300,leiyang,26.4024,112.8591,12.43,68,100,2.72,CN,1676779014
301,vrangel,42.7297,133.0839,-1.99,75,100,3.91,RU,1676779014
302,san jeronimo,-11.9472,-75.2829,7.9,95,100,1.88,PE,1676779015
303,healesville,-37.65,145.5167,32.0,21,1,2.0,AU,1676779015
304,paignton,50.4357,-3.5679,9.25,88,87,4.47,GB,1676779016
305,mahebourg,-20.4081,57.7,26.81,94,40,2.06,MU,1676779016
306,zhangjiakou,40.81,114.8794,-1.28,54,0,6.9,CN,1676779016
307,gunupur,19.0833,83.8167,26.58,62,54,1.03,IN,1676779016
308,hovd,48.0056,91.6419,-14.0,76,68,1.69,MN,1676779016
309,rabat,33.9911,-6.8401,12.04,94,79,0.0,MA,1676779016
310,hinesburg,44.3292,-73.1107,0.67,74,85,1.69,US,1676779017
311,ribeira grande,38.5167,-28.7,15.43,84,83,2.68,PT,1676779017
312,pacific grove,36.6177,-121.9166,11.42,67,59,0.45,US,1676779017
313,los llanos de aridane,28.6585,-17.9182,13.86,72,0,2.57,ES,1676779017
314,tessalit,20.1986,1.0114,17.15,16,0,5.0,ML,1676779017
315,tuatapere,-46.1333,167.6833,15.93,80,90,3.94,NZ,1676779018
316,hambantota,6.1241,81.1185,25.19,100,40,2.57,LK,1676779018
317,itarema,-2.9248,-39.9167,24.62,90,100,3.97,BR,1676779019
318,gold coast,-28.0,153.4333,30.81,64,40,6.17,AU,1676778774
319,bubaque,11.2833,-15.8333,22.97,73,91,4.07,GW,1676779019
320,hutchinson,38.0608,-97.9298,4.21,61,70,1.34,US,1676779019
321,west wendover,40.7391,-114.0733,-0.59,74,100,1.76,US,1676779019
322,havelock,34.8791,-76.9013,7.74,78,0,1.02,US,1676779019
323,lompoc,34.6391,-120.4579,11.62,71,56,0.45,US,1676779019
324,saint george,37.1041,-113.5841,7.75,47,5,1.79,US,1676779020
325,kastamonu,41.5,33.6667,2.81,96,100,3.06,TR,1676779020
326,bar harbor,44.3876,-68.2039,1.12,67,22,4.02,US,1676779020
327,quelimane,-17.8786,36.8883,25.27,84,100,2.95,MZ,1676779021
328,olinda,-8.0089,-34.8553,27.85,69,40,2.06,BR,1676779021
329,kavaratti,10.5669,72.642,26.44,69,7,0.52,IN,1676779021
330,ixtapa,20.7,-105.2,22.9,81,1,1.2,MX,1676779021
331,qasigiannguit,68.8193,-51.1922,-9.13,85,100,1.22,GL,1676779021
332,ancud,-41.8697,-73.8203,13.15,89,84,0.41,CL,1676779021
333,mount hagen,-5.8581,144.2274,24.42,57,40,4.63,PG,1676779022
334,lokosovo,61.1333,74.8167,-13.97,96,100,1.77,RU,1676779023
335,ketchikan,55.3422,-131.6461,1.55,99,100,2.67,US,1676779023
336,pouembout,-21.1333,164.9,29.16,51,12,4.55,NC,1676779023
337,lavrentiya,65.5833,-171.0,-26.56,93,69,2.83,RU,1676779023
338,abu kamal,34.4506,40.9171,7.3,42,0,2.11,SY,1676779023
339,mugla,37.2303,28.3557,2.8,80,5,0.26,TR,1676779023
340,vilhena,-12.7406,-60.1458,18.01,99,98,1.69,BR,1676779023
341,kalmar,56.6616,16.3616,0.54,82,42,4.47,SE,1676779024
342,nexo,55.0607,15.1306,3.05,79,100,8.76,DK,1676779024
343,airai,-8.9266,125.4092,22.2,67,100,1.19,TL,1676779024
344,kavieng,-2.5744,150.7967,27.92,76,88,1.7,PG,1676779024
345,sayansk,54.1088,102.1648,-12.15,88,94,0.65,RU,1676779024
346,havre-saint-pierre,50.2334,-63.5986,-8.0,78,0,4.63,CA,1676779024
347,isangel,-19.55,169.2667,31.06,58,20,3.09,VU,1676779024
348,ouadda,8.0777,22.4007,19.89,18,63,3.53,CF,1676779025
349,sinegorye,62.0788,150.477,-28.27,97,94,1.14,RU,1676779025
350,singaraja,-8.112,115.0882,29.42,68,88,1.51,ID,1676779025
351,rovaniemi,66.5,25.7167,-6.33,93,100,3.09,FI,1676779025
352,kanniyakumari,8.0833,77.5667,27.52,64,10,7.03,IN,1676778966
353,jian,27.1172,114.9793,13.87,62,100,3.51,CN,1676779025
354,bloomfield,40.8068,-74.1854,4.36,52,20,4.63,US,1676778855
355,sechura,-5.5569,-80.8222,25.89,73,88,4.17,PE,1676779026
356,lishu,43.3047,124.3278,-3.2,40,56,6.75,CN,1676779026
357,onega,63.9061,38.1404,-7.9,91,82,5.35,RU,1676779026
358,da nang,16.0678,108.2208,25.99,69,20,5.14,VN,1676778733
359,paralimni,35.0375,33.9833,10.64,76,0,3.13,CY,1676779026
360,yidu,24.1614,115.1328,22.76,55,53,5.99,CN,1676779026
361,komsomolskoye,55.2567,47.5461,-18.66,100,100,3.1,RU,1676779026
